38664.0,0.0,5091.25
50936.0,6.4,5524.50
37026.0,-2.6,-946.50
42712.0,2.0,6197.75
38035.0,1.7,863.25
37721.0,3.8,7097.50
36792.0,1.4,696.00
50410.0,6.9,8942.00
45653.0,4.4,4743.25
37517.0,0.3,1884.00
40208.0,8.4,-1359.17
40036.0,4.0,1081.25
38164.0,3.6,567.00
46764.0,4.2,5944.50
38760.0,3.1,607.25
47182.0,7.8,20508.00
36207.0,-3.8,502.50
41453.0,2.4,2996.75
51530.0,7.1,7970.25
36851.0,-1.0,-217.25
58411.0,5.3,16192.50
44454.0,8.0,10940.50
40637.0,8.6,7227.25
43895.0,5.7,6010.25
40606.0,0.9,2319.25
35642.0,-3.5,-1075.75
36514.0,-1.2,-690.00
38059.0,1.0,1372.00
37435.0,1.6,-157.75
42759.0,2.5,4320.00
41239.0,9.0,8569.25
37298.0,4.2,803.75
44818.0,7.8,4909.25
36127.0,-3.5,364.50
39570.0,2.9,1219.50
36841.0,2.7,551.25
38163.0,11.0,1253.75
40203.0,7.6,9498.75
39818.0,6.5,4664.25
57628.0,2.0,7338.00
36918.0,2.6,534.75
36409.0,11.6,5330.75
36212.0,-1.5,591.75
39071.0,-1.7,-638.00
37583.0,0.2,1547.25
39219.0,4.6,226.00
41740.0,19.7,15155.50
40476.0,6.7,4170.00
34174.0,-7.5,-1019.50
43762.0,4.5,2567.50
36559.0,-9.5,-244.00
34233.0,-12.5,-1722.00
52769.0,7.6,11576.50
35178.0,-9.3,-1584.50
36625.0,-1.9,-42.75
39710.0,3.2,-250.75
34475.0,-7.3,-217.75
35326.0,-2.8,-636.75
36464.0,0.1,31.75
37202.0,1.0,-842.25
38126.0,2.5,648.75
39538.0,5.2,1412.25
38806.0,8.5,3210.75
36083.0,-0.2,-264.50
37290.0,3.2,705.25
38923.0,4.4,2003.00
36930.0,-3.2,125.50
38954.0,7.0,1782.00
45108.0,7.3,5190.25
58013.0,4.2,7760.25
40109.0,12.2,9907.00
35462.0,-8.8,109.75
40001.0,6.3,2090.25
41806.0,9.4,3282.00
36170.0,-4.7,-917.75
37018.0,2.1,-28.75
45490.0,11.4,5183.00
39099.0,1.2,-245.00
39002.0,4.0,1308.25
36470.0,-6.4,52.25
37855.0,-1.2,425.25
38248.0,3.8,658.75
38139.0,-2.9,-260.00
35091.0,-4.1,796.25
34844.0,-5.9,-733.25
40575.0,6.5,10279.25
44441.0,18.4,6639.00
36201.0,-0.8,245.00
35967.0,-0.1,41.50
40019.0,8.8,811.50
35198.0,-3.6,691.50
37830.0,3.9,753.25
37183.0,-1.6,-605.25
34371.0,-10.7,-1432.75
36601.0,-2.0,-338.50
38880.0,10.0,2834.75
41040.0,14.1,5184.75
